# Uber-Clone Backend - Node.js Dependencies

## Core Framework
express@^5.2.1                    # Web framework
dotenv@^17.3.1                    # Environment variables

## Database & ORM
prisma@^6.19.2                   # Database ORM
@prisma/client@^6.19.2           # Prisma Client
pg@^8.20.0                       # PostgreSQL client

## Authentication & Security
jsonwebtoken@^9.0.3               # JWT token generation/verification
bcryptjs@^3.0.3                   # Password hashing
bcrypt@^6.0.0                     # Native password hashing
cookie-parser@^1.4.7              # Parse HTTP cookies
helmet@^8.1.0                     # Security headers
cors@^2.8.6                       # Cross-Origin Resource Sharing
express-mongo-sanitize@^2.2.0     # MongoDB query injection protection
xss@^1.0.15                       # XSS protection
xss-clean@^0.1.4                  # XSS protection middleware
hpp@^0.2.3                        # HTTP Parameter Pollution protection
express-rate-limit@^8.3.1         # Rate limiting

## Validation & Schema
zod@^4.3.6                        # Schema validation
express-validator@^7.3.1          # Request validation middleware

## Caching, Queues & Real-time
redis@^5.11.0                     # Redis client
ioredis@^5.10.1                   # Advanced Redis client
rate-limit-redis@^4.3.1           # Redis store for rate limiting
bullmq@^5.72.0                    # Distributed job queue
kafkajs@^2.2.4                    # Kafka message broker
socket.io@^4.8.3                  # WebSocket for real-time features

## File Upload & Storage
multer@^2.1.1                     # File upload middleware
cloudinary@^1.41.3                # Cloud storage for images
multer-storage-cloudinary@^4.0.0  # Cloudinary storage engine for Multer

## API Documentation
swagger-jsdoc@^6.2.8              # Generate Swagger/OpenAPI docs
swagger-ui-express@^5.0.1         # Swagger UI

## Utilities
pino@^10.3.1                      # Fast logger
pino-pretty@^13.1.3               # Pretty print for pino
morgan@^1.10.1                    # HTTP request logger
prom-client@^15.1.3               # Prometheus metrics
uuid@^13.0.0                      # UUID generation
node-cron@^4.2.1                  # Cron job scheduling
supertest@^7.2.2                  # Integration testing
init@^0.1.2                       # Initialization helper

## Development Dependencies
nodemon@^3.1.14                   # Auto-restart on file changes
typescript@^5.9.3                 # TypeScript language
ts-node@^10.9.2                   # Execute TypeScript directly

## Installation
# Run: npm install

## Node Version
# Recommended: Node.js 18.x or higher

## Environment Variables Required
# See .env.example for full list:
# - PORT
# - NODE_ENV
# - SERVICE_NAME
# - DATABASE_URL
# - REDIS_URL
# - JWT_ACCESS_SECRET
# - JWT_REFRESH_SECRET
# - COOKIE_SECRET
# - CORS_ORIGIN
# - KAFKA_BROKERS
